"lemma","discriminator","is_official","supertype","frame","distribution","pronominal_class","subject","sememe","examples","synonyms","etymology","etymological_notes","definition_type","qtq_definition","qtq_notes","qtq_gloss","eng_definition","eng_notes","eng_gloss","cmn_definition","cmn_notes","cmn_gloss","spa_definition","spa_notes","spa_gloss","fra_definition","fra_notes","fra_gloss","por_definition","por_notes","por_gloss","rus_definition","rus_notes","rus_gloss","deu_definition","deu_notes","deu_gloss","jpn_definition","jpn_notes","jpn_gloss","tgl_definition","tgl_notes","tgl_gloss","tur_definition","tur_notes","tur_gloss","pol_definition","pol_notes","pol_gloss","nld_definition","nld_notes","nld_gloss","bul_definition","bul_notes","bul_gloss","isl_definition","isl_notes","isl_gloss","lou_definition","lou_notes","lou_gloss","epo_definition","epo_notes","epo_gloss","tok_definition","tok_notes","tok_gloss","tlh_definition","tlh_notes","tlh_gloss","ithkuil-iv_definition","ithkuil-iv_notes","ithkuil-iv_gloss","votgil_definition","votgil_notes","votgil_gloss","c_definition","c_gloss","c_notes","jbo_definition","jbo_gloss","jbo_notes","langdata","qpv_definition","qpv_gloss","qpv_notes"
"leosoq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ tries their best at doing ▯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'MaCDugR5I', 'author': 'seaqtaq', 'date': '2024-10-27T11:22:10.588Z', 'score': 0})}",,,
"leotao",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ does ▯ as a trial; ▯ tries out doing ▯; ▯ takes a stab at / has a shot at ▯-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'c3g7Lw6IT', 'author': 'uakci', 'date': '2019-07-04T19:00:52.539Z', 'score': 0})}",,,
"lepo",1,"False",,"c","d","ho","individual","dayoga","[]",,,,"informal",,,,"▯ belongs to the Lepus taxonomic genus (the hares and jackrabbits).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'gM68P97pi', 'author': 'Ilmen', 'date': '2018-10-20T10:32:49.000Z', 'score': 0})}",,,
"leposıu",1,"False",,"c","d","ho","individual","nitape","[]",,,,"informal",,,,"▯ is a rabbit/hare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'bKNaDCDGQ', 'author': 'Ilmen', 'date': '2018-10-20T10:33:30.000Z', 'score': 0})}",,,
"lepotom",1,"False",,,,,,,"[]",,,,"informal",,,,"▯is a lepton.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'WaME1QBtl', 'author': 'Snow', 'date': '2023-05-22T21:26:31.080Z', 'score': 0})}",,,
"leq",1,"True","predicate","c","d","maq","individual","rofoga","[]",,"Tòaq Dzũ, lin",,"informal",,,,"▯ is a tongue.",,"tongue",,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ to język (część ciała).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:leq', 'author': 'official', 'date': '', 'score': 0}), 'pol': OrderedDict({'id': 'F3c5CuWXsl', 'author': 'jiqci', 'date': '2023-07-31T08:21:15.355Z', 'score': 0})}",,,
"leqbuja",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ makes out with ▯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 't69QWg6pv', 'author': 'evie', 'date': '2024-01-14T21:29:03.466Z', 'score': 2})}",,,
"leqfuo",1,"True",,,,,,,"[]",,,,"informal",,,,"▯ licks ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'sjzTGMupn', 'author': 'Hoemai', 'date': '2019-04-08T14:04:58.000Z', 'score': 1})}",,,
"leqfuochue",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is The Lick.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '9eXn7EvZm', 'author': 'jiqci', 'date': '2023-10-04T18:29:47.553Z', 'score': 0})}",,,
"leqfuoduao",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a lollipop.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'kUEBUyxoh', 'author': 'jiqci', 'date': '2024-06-15T21:58:04.228Z', 'score': 0})}",,,
"leqfurılaq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a trill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'Mpsr9rD980j', 'author': 'seaqtaq', 'date': '2019-09-17T19:19:51.061Z', 'score': 0})}",,,
"leqguqfeqnhoq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is an hypoglossal nerve (CN XII).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'm5M5N9ZEZ', 'author': 'jiqci', 'date': '2025-08-29T17:53:51.515Z', 'score': 0})}",,,
"leqgushoaı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a tsetse fly (Glossina genus).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'SK_KnL6-e', 'author': 'Ilmen', 'date': '2024-09-08T19:55:42.197Z', 'score': 0})}",,,
"leqjıeqcha",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is apical/pronounced with the tip of the tongue (phonetics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '1BemYx2FIe', 'author': 'seaqtaq', 'date': '2019-09-17T19:19:51.034Z', 'score': 0})}",,,
"leqkuoq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is the hyoid bone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'kEB223O0S', 'author': 'jiqci', 'date': '2023-03-12T17:38:55.438Z', 'score': 0})}",,,
"leqlıacha",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is lateral/articulated using both sides of the tongue (phonetics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'HodV76f8k4m', 'author': 'seaqtaq', 'date': '2019-09-17T19:19:51.038Z', 'score': 0})}",,,
"leqparuqfeqnhoq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a glossopharyngeal nerve (CN IX).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'qi6t0aJdJ', 'author': 'jiqci', 'date': '2025-08-29T17:44:47.480Z', 'score': 0})}",,,
"leqroıluao",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is articulated linguolabially/with the tongue touching the upper lip (phonetics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'wXz-SSl8X', 'author': 'seaqtaq', 'date': '2020-06-28T20:20:06.820Z', 'score': 0})}",,,
"leqshaqcha",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a coronal consonant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '3QCZLfj-Pd', 'author': 'seaqtaq', 'date': '2019-09-17T19:19:51.036Z', 'score': 0})}",,,
"leqtoqcha",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is laminal (phonetics)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '-XGSCFZwob', 'author': 'seaqtaq', 'date': '2019-09-17T19:19:51.035Z', 'score': 0})}",,,
"lera",1,"False",,,,,,"jigota","[]","leu; naosaı; ze",,,"informal",,,,"▯ is a liquid (state of matter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'vajWIzaUK', 'author': 'el', 'date': '2022-11-28T20:03:09.165Z', 'score': 0})}",,,
"leu",1,"False",,,,,,"jigota","[]","lera; naosaı; ze",,,"informal",,,,"▯ is liquid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'j2X3Re4pJ', 'author': 'robintown', 'date': '2023-02-06T16:08:21.775Z', 'score': 1})}",,,
"leubeq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a cyst; is a liquid filled sac/protrusion on the body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '-BTY1t0G-', 'author': 'seaqtaq', 'date': '2024-10-24T19:22:44.703Z', 'score': 0})}",,,
"leubeqmıa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ has many cysts on it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'JatCiazaJ', 'author': 'seaqtaq', 'date': '2024-10-24T19:23:37.203Z', 'score': 0})}",,,
"leupıe",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ drinks / has something to drink / hydrates / slakes their thirst.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'taE06lnmE', 'author': 'Laqme', 'date': '2025-01-10T18:59:38.820Z', 'score': 1})}",,,
"leuq",1,"False",,"c","d","ta","free",,"[]",,,,"informal","Cẹmaıleı ra cẹjeqdaleı ▯.",,,"▯ is LGBT/queer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'ZVNU2siLv', 'author': 'Laqme', 'date': '2023-02-07T16:13:50.803Z', 'score': 1}), 'qtq': OrderedDict({'id': 'uELLL1mrT', 'author': 'Laqme', 'date': '2025-01-09T14:47:18.756Z', 'score': 0})}",,,
"leuqboe",1,"False",,"c","d","maq","individual",,"[]",,,,"informal",,,,"▯ is a pride flag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'btT9ffEEW', 'author': 'Laqme', 'date': '2023-09-02T16:12:44.135Z', 'score': 1})}",,,
"leuqcueq",1,"False",,"c","d","ho","individual",,"[]",,,,"informal",,,,"▯ is ""out of the closet"" in regards to their LGBT+ identity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'vtOYzipg8', 'author': 'seaqtaq', 'date': '2024-11-03T09:51:03.290Z', 'score': 1})}",,,
"leuqde",1,"False",,"c","d","ta","free",,"[]",,,,"informal",,,,"▯ is cute in a gay way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'rCSGOJwzW', 'author': 'Laqme', 'date': '2024-10-10T17:19:54.903Z', 'score': 0})}",,,
"leuqdoaq",1,"False",,"c","d","maq","individual",,"[]",,,,"informal",,,,"▯ is an LGBT neighborhood / gay village / gayborhood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'XO8X68A1a', 'author': 'Laqme', 'date': '2023-09-02T16:05:13.725Z', 'score': 0})}",,,
"leuqjue",1,"False",,"c","d","hoq","free",,"[]",,,,"informal",,,,"▯ is an LGBT Pride Month.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'TJulC1DEV', 'author': 'Laqme', 'date': '2023-09-02T15:59:22.407Z', 'score': 1})}",,,
"leuqpaı",1,"False",,"c","d","ho","individual",,"[]",,,,"informal",,,,"▯ is an (LGBT) ally.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'fxYodF6UB', 'author': 'Laqme', 'date': '2023-09-02T16:11:38.411Z', 'score': 1})}",,,
"leuqpoq",1,"False",,"c","d","ho","individual",,"[]",,,,"informal",,,,"▯ is a person under the LGBTQ+ umbrella / is a sexual or gender minority.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'zYdM86tMa', 'author': 'Laqme', 'date': '2023-09-02T16:07:13.569Z', 'score': 0})}",,,
"leuqreo",1,"False",,"c","d","maq","individual",,"[]",,,,"informal",,,,"▯ is rainbow-colored.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'YP26tu9Z1', 'author': 'Laqme', 'date': '2023-09-02T16:02:58.853Z', 'score': 0})}",,,
"leuqshuı",1,"False",,"c","d","ho","individual",,"[]",,,,"informal",,,,"▯ is ""in the closet"" in regards to their LGBT+ identity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'xl2TGeImD', 'author': 'seaqtaq', 'date': '2024-11-03T09:50:49.070Z', 'score': 0})}",,,
"leusho",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ melts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '-g7K1Vdo0', 'author': 'robintown', 'date': '2023-02-06T16:08:31.109Z', 'score': 0})}",,,
"lezurom",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a large language model.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'o94wynLn8', 'author': 'Laqme', 'date': '2024-06-19T21:12:03.400Z', 'score': 0})}",,,
"lezı",1,"False",,,,,,,"[]",,,,"informal",,,,"interjection: probably not",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'W4zB5GlH_', 'author': 'evie', 'date': '2024-07-05T23:04:22.390Z', 'score': 0})}",,,
"leı",1,"True","predicate","c 1i","d d","ta","free","yesuru","[]",,,,"informal",,,,"▯ seldom/infrequently satisfies property ▯.",,"seldom",,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ rzadko spełnia własność ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:leı', 'author': 'official', 'date': '', 'score': 0}), 'pol': OrderedDict({'id': 'aWO37MWGQj', 'author': 'jiqci', 'date': '2023-07-31T08:21:16.439Z', 'score': 0})}",,,
"leı",3,"False",,,,,,,"[]",,,,"informal",,,,"adverb of quantification: seldom, rarely",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'LGfhAUYjm', 'author': 'robintown', 'date': '2025-03-31T02:41:04.445Z', 'score': 0})}",,,
"leı'ıq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ satisfies rare/infrequent property ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'gHFfZOouz', 'author': 'Laqme', 'date': '2023-02-11T02:33:29.858Z', 'score': 0})}",,,
"leıbo",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ features / has noteworthy part ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '5ztvUmfx6', 'author': 'Laqme', 'date': '2025-02-19T11:34:27.324Z', 'score': 1})}",,,
"leıdı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ has special permission / is exceptionally allowed to ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ li ken ▯ tan toki pi ijo lawa anu pi ken pana wawa",,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'LX3EOrQZk', 'author': 'Laqme', 'date': '2020-03-01T23:37:22.913Z', 'score': 1}), 'tok': OrderedDict({'id': 'e1L69bg6-', 'author': 'ijonetun', 'date': '2023-01-06T01:28:54.450Z', 'score': 0})}",,,
"leıfuıdua",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ finds it obvious that ▯ is the case, which is not generally so obvious for others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'RRn1LmNXx', 'author': 'uakci', 'date': '2023-02-24T17:35:12.596Z', 'score': 0})}",,,
"leıguqmuı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is an overinterpretation of ▯; ▯ is a meaning of ▯ so abstract that it's improbable that it could have been meant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'UG5-Yl9Dr', 'author': 'uakci', 'date': '2020-03-11T13:22:26.177Z', 'score': 0})}",,,
"leıko",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is kinky / not vanilla.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '9qrXSxnUV', 'author': 'Laqme', 'date': '2025-05-28T16:45:35.947Z', 'score': 1})}",,,
"leılı",1,"False",,,,,,,"[]",,,,"informal",,,,"Property ▯ is rare/uncommon among ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'fWqMA96Zw', 'author': 'robintown', 'date': '2022-06-02T21:46:24.904Z', 'score': 0})}",,,
"leımuo",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is unique in satisfying property ▯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'mpCtJuIE_', 'author': 'fagri', 'date': '2021-10-13T14:53:17.354Z', 'score': 0})}",,,
"leımuı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is an odd/unidiomatic/“stretching it”/contextual interpretation of ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'vY1kFm5-n', 'author': 'uakci', 'date': '2022-08-06T07:58:40.169Z', 'score': 1})}",,,
"leıshoe",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ lets/allows/permits ▯ to happen “just this time” / as an exception.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'KVcXjooq7', 'author': 'Laqme', 'date': '2020-03-01T23:43:08.985Z', 'score': 0})}",,,
"leısoıtaotue",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a special military operation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'EuglZXQiw', 'author': 'jiqci', 'date': '2025-01-18T10:31:10.645Z', 'score': 0})}",,,
"leısuoı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is exclusive / elite / distinguished in satisfying rare property ▯.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'U-bWyrtFV', 'author': 'Laqme', 'date': '2022-08-02T13:34:01.105Z', 'score': 0})}",,,
"leısıgı",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is interesting in a niche way / interesting only to nerds or fans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'KuFMDv_yH', 'author': 'Laqme', 'date': '2023-09-04T11:23:37.183Z', 'score': 0})}",,,
"leıtuq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ are a group of things such that to have one among them be in relation ▯ with Y is uncommon for Y; ▯ are a group of things, such that for each such X of which the things that X is in relation ▯ with are rare in that regard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '_sJiqLuVy', 'author': 'uakci', 'date': '2020-02-08T17:00:43.536Z', 'score': 0})}",,,
"lo-",1,"False",,,,,,,"[]",,,,"informal",,,,"prefix: incorporate **ráı** (*ló raı) object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'C6gwvMl7F', 'author': 'evie', 'date': '2024-10-08T19:31:35.179Z', 'score': 0})}",,,
"loa",1,"True","predicate","c","d","ta","individual","murolo","[]",,,,"informal",,,,"▯ is purple.",,"purple",,,,,,,,,,,,,"предикат: ‘фиолетовый’; ▯ фиолетового цвета.",,,,,,,,,,,,,,,"▯ jest fioletowy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:loa', 'author': 'official', 'date': '', 'score': 0}), 'pol': OrderedDict({'id': 'VlDfr8H2nI', 'author': 'jiqci', 'date': '2023-07-31T08:21:14.032Z', 'score': 0}), 'rus': OrderedDict({'id': 'JbrEoqQ_2', 'author': 'SuperSpaceNiM', 'date': '2024-08-11T22:57:37.913Z', 'score': 0})}",,,
"loachaq",1,"True","predicate","c","d","hoq","individual","kilesi","[]",,,,"informal",,,,"▯ is a Sunday.",,"sunday",,,,,,,,,,,,,,,,,,,,,,,,,,,,"▯ to niedziela.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'official:loachaq', 'author': 'official', 'date': '', 'score': 0}), 'pol': OrderedDict({'id': 'kZ_bMXTUX', 'author': 'jiqci', 'date': '2023-07-31T08:21:14.196Z', 'score': 0})}",,,
"loachue",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a forum / discussion thread.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'mkavK_oc6', 'author': 'uakci', 'date': '2021-11-07T11:23:50.542Z', 'score': 0})}",,,
"loacuao",1,"False",,,,,,"qagaqo","[]",,,,"informal",,,,"▯ is an ultraviolet color.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'FVG38azFt', 'author': 'Ilmen', 'date': '2018-12-29T22:38:12.000Z', 'score': 0})}",,,
"loahıupıo",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is amethyst.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '-UpjYyDz7', 'author': 'robintown', 'date': '2021-10-22T15:07:37.939Z', 'score': 0})}",,,
"loajo",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a half-diminished (m7♭5) chord.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '4UmGw0iaH', 'author': 'Laqme', 'date': '2025-03-10T13:45:07.915Z', 'score': 0})}",,,
"loakepa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a red onion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '6Qz98dI4_', 'author': 'el', 'date': '2022-07-18T08:08:42.352Z', 'score': 1})}",,,
"loakuq",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ posts ▯ on a forum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '-gOrlweQp', 'author': 'uakci', 'date': '2021-11-07T11:23:24.825Z', 'score': 0})}",,,
"loaloa",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is bright purple.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'xjJjbLXlA', 'author': 'robintown', 'date': '2023-10-17T13:45:02.158Z', 'score': 0})}",,,
"loanhe",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is an event with an extent metaphorically expressed by the hue of ▯: red is (almost) none, orange a little more, (etc.), and purple is very much.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': 'ExdMnXvX2', 'author': 'Laqme', 'date': '2022-02-09T16:50:02.839Z', 'score': 2})}",,,
"loanıu",1,"False",,,,,,,"[]",,,,"informal",,,,"▯ is a violet; ▯ is a plant of genus Viola.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'eng': OrderedDict({'id': '2gfvyn4Mq', 'author': 'uakci', 'date': '2019-04-15T09:07:44.000Z', 'score': 0})}",,,
